order_id,courier_id,accept_time,accept_gps_lng,accept_gps_lat,delivery_gps_lng,delivery_gps_lat,vehicle_type,stop_package_count,predicted_minutes,eta,delivery_time
1,123,2026-05-07 07:00:00,104.89,11.55,104.904,11.556,1,1,118.97,2026-05-07T08:58:58.049906+07:00,2026-05-07 13:46:17
2,123,2026-05-07 07:08:00,104.904,11.556,104.918,11.562,1,1,128.96,2026-05-07T09:08:57.695491+07:00,2026-05-07 13:46:18
3,123,2026-05-07 07:16:00,104.918,11.562,104.932,11.568,1,1,138.96,2026-05-07T09:18:57.335688+07:00,2026-05-07 13:46:23
4,123,2026-05-07 07:24:00,104.932,11.568,104.946,11.574,1,1,148.95,2026-05-07T09:28:56.970494+07:00,2026-05-07 13:46:25
1,123,2026-05-07 07:00:00,104.89,11.55,104.904,11.556,1,1,118.97,2026-05-07T08:58:58.049906+07:00,2026-05-07 16:10:33
2,123,2026-05-07 07:08:00,104.904,11.556,104.918,11.562,1,1,128.96,2026-05-07T09:08:57.695491+07:00,2026-05-07 16:10:38
3,123,2026-05-07 07:16:00,104.918,11.562,104.932,11.568,1,1,138.96,2026-05-07T09:18:57.335688+07:00,2026-05-07 16:10:41
4,123,2026-05-07 07:24:00,104.932,11.568,104.946,11.574,1,1,148.95,2026-05-07T09:28:56.970494+07:00,2026-05-07 16:10:45
5,123,2026-05-07 07:32:00,104.946,11.574,104.96,11.58,1,1,158.94,2026-05-07T09:38:56.599906+07:00,2026-05-07 16:10:47
1001,2,2026-05-08 06:00:00,104.9282,11.5564,104.931,11.5601,0,1,244.19,2026-05-08T10:04:11.663304+07:00,2026-05-08 09:54:21
1002,3,2026-05-08 06:00:00,104.9282,11.5564,104.9201,11.5478,0,1,222.77,2026-05-08T09:42:46.379863+07:00,2026-05-08 09:54:25
1003,2,2026-05-08 06:00:00,104.9282,11.5564,104.9355,11.5712,0,1,200.76,2026-05-08T09:20:45.582980+07:00,2026-05-08 09:54:28
1004,3,2026-05-08 06:00:00,104.9282,11.5564,104.945,11.5389,1,1,292.95,2026-05-08T10:52:56.826704+07:00,2026-05-08 09:54:31
1005,1,2026-05-08 06:00:00,104.9282,11.5564,104.918,11.565,0,1,307.7,2026-05-08T11:07:42.254612+07:00,2026-05-08 09:54:37
1006,1,2026-05-08 06:00:00,104.9282,11.5564,104.929,11.582,1,1,234.09,2026-05-08T09:54:05.275593+07:00,2026-05-08 09:54:40
1001,2,2026-05-08 06:00:00,104.9282,11.5564,104.931,11.5601,0,1,244.19,2026-05-08T10:04:11.663304+07:00,2026-05-08 10:01:36
1002,3,2026-05-08 06:00:00,104.9282,11.5564,104.9201,11.5478,0,1,222.77,2026-05-08T09:42:46.379863+07:00,2026-05-08 10:01:40
1003,2,2026-05-08 06:00:00,104.9282,11.5564,104.9355,11.5712,0,1,200.76,2026-05-08T09:20:45.582980+07:00,2026-05-08 10:01:42
1004,3,2026-05-08 06:00:00,104.9282,11.5564,104.945,11.5389,1,1,292.95,2026-05-08T10:52:56.826704+07:00,2026-05-08 10:01:50
1001,1,2026-05-08 08:00:00,104.9282,11.5564,104.931,11.5601,1,41.04,2026-05-08T08:41:02.666631+07:00,2026-05-08 14:01:31
1002,3,2026-05-08 09:17:18,104.9282,11.5564,104.9201,11.5478,1,12.82,2026-05-08T09:30:07.875339+07:00,2026-05-08 14:01:41
1003,2,2026-05-08 08:51:48,104.9282,11.5564,104.9355,11.5712,1,16.86,2026-05-08T09:08:39.949794+07:00,2026-05-08 14:01:43
1004,1,2026-05-08 10:34:57,104.9282,11.5564,104.945,11.5389,1,21.92,2026-05-08T10:56:52.285067+07:00,2026-05-08 14:01:44
1005,3,2026-05-08 10:14:33,104.9282,11.5564,104.918,11.565,1,20.96,2026-05-08T10:35:30.585724+07:00,2026-05-08 14:01:48
1001,1,2026-05-08 08:00:00,104.9282,11.5564,104.931,11.5601,1,41.46,2026-05-08T08:41:27.625599+07:00,2026-05-08 14:09:29
1002,3,2026-05-08 09:18:41,104.9282,11.5564,104.9201,11.5478,1,17.98,2026-05-08T09:36:40.106699+07:00,2026-05-08 14:09:33
1003,2,2026-05-08 08:00:00,104.9282,11.5564,104.9355,11.5712,1,65.05,2026-05-08T09:05:03.267958+07:00,2026-05-08 14:09:36
1004,2,2026-05-08 11:22:19,104.9282,11.5564,104.945,11.5389,1,31.26,2026-05-08T11:53:34.714686+07:00,2026-05-08 14:09:38
1001,1,2026-05-08 08:00:00,104.9282,11.5564,104.931,11.5601,1,41.46,2026-05-08T08:41:27.625599+07:00,2026-05-08 15:03:27
1002,3,2026-05-08 09:18:41,104.9282,11.5564,104.9201,11.5478,1,17.98,2026-05-08T09:36:40.106699+07:00,2026-05-08 15:03:30
1003,2,2026-05-08 08:00:00,104.9282,11.5564,104.9355,11.5712,1,65.05,2026-05-08T09:05:03.267958+07:00,2026-05-08 15:03:32
1004,2,2026-05-08 11:22:19,104.9282,11.5564,104.945,11.5389,1,31.26,2026-05-08T11:53:34.714686+07:00,2026-05-08 15:03:34
